Date,Open,Day High,Day Low,Close,Volume,
9/5/2013,1653.28,1653.07,1659.17,1655.08,4.29E+11,
9/6/2013,1657.44,1640.62,1664.83,1655.17,4.84E+11,
9/9/2013,1656.85,1656.85,1672.4,1671.71,4.24E+11,
9/10/2013,1674.32,1674.32,1684.09,1683.99,4.89E+11,
9/11/2013,1681.04,1678.7,1689.13,1689.13,4.77E+11,
9/12/2013,1689.21,1681.96,1689.97,1683.42,4.42E+11,
9/13/2013,1685.04,1682.22,1688.73,1687.99,3.84E+11,
9/16/2013,1691.7,1691.7,1704.95,1697.6,4.47E+11,
9/17/2013,1697.73,1697.73,1705.52,1704.76,4.17E+11,
9/18/2013,1705.74,1700.35,1729.44,1725.52,5.68E+11,
9/19/2013,1727.34,1720.2,1729.86,1722.34,5.04E+11,
9/20/2013,1722.44,1708.89,1725.23,1709.91,1.37E+12,
9/23/2013,1711.44,1697.1,1711.44,1701.84,5.01E+11,
9/24/2013,1702.6,1694.9,1707.63,1697.42,4.89E+11,
9/25/2013,1698.02,1691.88,1701.71,1692.77,4.61E+11,
9/26/2013,1694.05,1693.11,1703.85,1698.67,4.09E+11,
9/27/2013,1695.52,1687.11,1695.52,1691.75,4.65E+11,
9/30/2013,1687.26,1674.99,1687.26,1681.55,6.06E+11,
10/1/2013,1682.41,1682.07,1696.55,1695,4.40E+11,
10/2/2013,1691.9,1680.34,1693.87,1693.87,4.67E+11,
10/3/2013,1692.35,1670.36,1692.35,1678.66,4.82E+11,
10/4/2013,1678.79,1677.33,1691.94,1690.5,4.21E+11,
10/7/2013,1687.15,1674.7,1687.15,1676.12,4.14E+11,
10/8/2013,1676.22,1655.03,1676.79,1655.45,5.37E+11,
10/9/2013,1656.99,1646.47,1662.47,1656.4,5.49E+11,
10/10/2013,1660.88,1660.88,1692.56,1692.56,5.33E+11,
10/11/2013,1691.09,1688.52,1703.44,1703.2,4.70E+11,
10/14/2013,1699.86,1692.13,1711.03,1710.14,4.11E+11,
10/15/2013,1709.17,1695.93,1711.57,1698.06,5.00E+11,
10/16/2013,1700.49,1700.49,1721.76,1721.54,5.08E+11,
10/17/2013,1720.17,1714.12,1733.45,1733.15,5.23E+11,
10/18/2013,1736.72,1735.74,1745.31,1744.5,6.85E+11,
10/21/2013,1745.2,1740.67,1747.79,1744.66,4.85E+11,
10/22/2013,1746.48,1746.48,1759.33,1754.67,5.56E+11,
10/23/2013,1752.27,1740.5,1752.27,1746.38,5.20E+11,
10/24/2013,1747.48,1745.5,1753.94,1752.07,5.13E+11,
10/25/2013,1756.01,1752.45,1759.82,1759.77,5.29E+11,
10/28/2013,1759.42,1757.67,1764.99,1762.11,5.64E+11,
10/29/2013,1762.93,1762.93,1772.09,1771.95,4.80E+11,
10/30/2013,1772.27,1757.24,1775.22,1763.31,4.70E+11,
10/31/2013,1763.24,1755.72,1768.53,1756.54,6.24E+11,
11/1/2013,1758.7,1752.7,1765.67,1761.64,5.38E+11,
11/4/2013,1763.4,1761.56,1768.78,1767.93,4.20E+11,
11/5/2013,1765.67,1755.76,1767.03,1762.97,4.78E+11,
11/6/2013,1765,1764.4,1773.74,1770.49,4.93E+11,
11/7/2013,1770.74,1746.2,1774.54,1747.15,5.90E+11,
11/8/2013,1748.37,1747.63,1770.78,1770.61,5.65E+11,
11/11/2013,1769.96,1767.85,1773.44,1771.89,3.77E+11,
11/12/2013,1769.51,1762.29,1771.78,1767.69,4.44E+11,
11/13/2013,1764.37,1760.64,1782,1782,5.05E+11,
11/14/2013,1782.75,1780.22,1791.53,1790.62,5.10E+11,
11/15/2013,1790.66,1790.66,1798.22,1798.18,6.57E+11,
11/18/2013,1798.82,1788,1802.33,1791.53,4.82E+11,
11/19/2013,1790.79,1784.72,1795.51,1787.87,4.60E+11,
11/20/2013,1789.59,1777.23,1795.73,1781.37,4.62E+11,
11/21/2013,1783.52,1783.52,1797.16,1795.85,4.79E+11,
11/22/2013,1797.21,1794.7,1804.84,1804.76,4.40E+11,
11/25/2013,1806.33,1800.58,1808.1,1802.48,4.71E+11,
11/26/2013,1802.87,1800.77,1808.42,1802.75,5.59E+11,
11/27/2013,1803.48,1802.77,1808.27,1807.23,3.73E+11,
11/29/2013,1808.69,1803.98,1813.55,1805.81,3.53E+11,
12/2/2013,1806.55,1798.6,1810.02,1800.9,4.62E+11,
12/3/2013,1800.1,1787.85,1800.1,1795.15,5.25E+11,
12/4/2013,1793.15,1779.09,1799.8,1792.81,5.73E+11,
12/5/2013,1792.82,1783.38,1792.82,1785.03,5.57E+11,
12/6/2013,1788.36,1788.36,1806.04,1805.09,5.00E+11,
12/9/2013,1806.21,1806.21,1811.52,1808.37,4.86E+11,
12/10/2013,1807.6,1801.75,1808.52,1802.62,4.64E+11,
12/11/2013,1802.76,1780.09,1802.97,1782.22,5.46E+11,
12/12/2013,1781.71,1772.28,1782.99,1775.5,5.16E+11,
12/13/2013,1777.98,1772.45,1780.92,1775.32,4.40E+11,
12/16/2013,1777.48,1777.48,1792.22,1786.54,5.29E+11,
12/17/2013,1786.47,1777.05,1786.77,1781,5.06E+11,
12/18/2013,1781.46,1767.99,1811.08,1810.65,6.90E+11,
12/19/2013,1809,1801.35,1810.88,1809.6,5.11E+11,
12/20/2013,1810.39,1810.25,1823.75,1818.32,1.39E+12,
12/23/2013,1822.92,1822.92,1829.75,1827.99,4.34E+11,
12/24/2013,1828.02,1828.02,1833.32,1833.32,1.84E+11,
12/26/2013,1834.96,1834.96,1842.84,1842.02,2.93E+11,
12/27/2013,1842.97,1839.81,1844.89,1841.4,2.70E+11,
12/30/2013,1841.47,1838.77,1842.47,1841.07,3.02E+11,
12/31/2013,1842.61,1842.41,1849.44,1848.36,3.94E+11,
1/2/2014,1845.86,1827.74,1845.86,1831.98,4.46E+11,
1/3/2014,1833.21,1829.13,1838.24,1831.37,3.88E+11,
1/6/2014,1832.31,1823.73,1837.16,1826.77,4.91E+11,
1/7/2014,1828.71,1828.71,1840.1,1837.88,4.97E+11,
1/8/2014,1837.9,1831.4,1840.02,1837.49,5.77E+11,
1/9/2014,1839,1830.38,1843.23,1838.13,5.21E+11,
1/10/2014,1840.06,1832.43,1843.15,1842.37,4.86E+11,
1/13/2014,1841.26,1815.52,1843.45,1819.2,5.74E+11,
1/14/2014,1821.36,1821.36,1839.26,1838.88,5.10E+11,
1/15/2014,1840.52,1840.52,1850.84,1848.38,5.57E+11,
1/16/2014,1847.99,1840.3,1847.99,1845.89,4.73E+11,
1/17/2014,1844.23,1835.23,1846.04,1838.7,8.07E+11,
1/21/2014,1841.05,1832.38,1849.31,1843.8,5.94E+11,
1/22/2014,1844.71,1840.88,1846.87,1844.86,5.00E+11,
1/23/2014,1842.29,1820.06,1842.29,1828.46,5.81E+11,
1/24/2014,1826.96,1790.29,1826.96,1790.29,7.11E+11,
1/27/2014,1791.03,1772.88,1795.98,1781.56,6.32E+11,
1/28/2014,1783,1779.49,1793.87,1792.5,4.95E+11,
1/29/2014,1790.15,1770.45,1790.15,1774.2,6.01E+11,
1/30/2014,1777.17,1777.17,1798.77,1794.19,5.45E+11,
1/31/2014,1790.88,1772.26,1793.88,1782.59,7.55E+11,
2/3/2014,1782.68,1739.66,1784.83,1741.89,7.44E+11,
2/4/2014,1743.82,1743.82,1758.73,1755.2,6.21E+11,
2/5/2014,1753.38,1737.92,1755.79,1751.64,5.79E+11,
2/6/2014,1752.99,1752.99,1774.06,1773.43,5.61E+11,
2/7/2014,1776.01,1776.01,1798.03,1797.02,5.89E+11,
2/10/2014,1796.2,1791.83,1799.94,1799.84,4.86E+11,
2/11/2014,1800.45,1800.41,1823.54,1819.75,5.33E+11,
2/12/2014,1820.12,1815.97,1826.55,1819.26,4.84E+11,
2/13/2014,1814.82,1809.22,1830.25,1829.83,5.35E+11,
2/14/2014,1828.46,1825.59,1841.65,1838.63,4.88E+11,
2/18/2014,1839.03,1835.01,1842.87,1840.76,5.38E+11,
2/19/2014,1838.9,1826.99,1847.5,1828.75,5.17E+11,
2/20/2014,1829.24,1824.58,1842.79,1839.78,5.13E+11,
2/21/2014,1841.07,1835.6,1846.13,1836.25,6.74E+11,
2/24/2014,1836.78,1836.78,1858.71,1847.61,6.94E+11,
2/25/2014,1847.66,1840.19,1852.91,1845.12,4.98E+11,
2/26/2014,1845.79,1840.66,1852.65,1845.16,4.94E+11,
2/27/2014,1844.9,1841.13,1854.53,1854.29,5.06E+11,
2/28/2014,1855.12,1847.67,1867.92,1859.45,7.17E+11,
3/3/2014,1857.68,1834.44,1857.68,1845.73,4.98E+11,
3/4/2014,1849.23,1849.23,1876.23,1873.91,5.44E+11,
3/5/2014,1874.05,1871.11,1876.53,1873.81,4.82E+11,
3/6/2014,1874.18,1874.18,1881.94,1877.03,4.99E+11,
3/7/2014,1878.52,1870.56,1883.57,1878.04,4.97E+11,
3/10/2014,1877.86,1867.04,1877.87,1877.17,4.31E+11,
3/11/2014,1878.26,1863.88,1882.35,1867.63,4.43E+11,
3/12/2014,1866.15,1854.38,1868.38,1868.2,4.49E+11,
3/13/2014,1869.06,1841.86,1874.4,1846.34,5.13E+11,
3/14/2014,1845.07,1839.57,1852.44,1841.13,4.91E+11,
3/17/2014,1842.81,1842.81,1862.3,1858.83,4.53E+11,
3/18/2014,1858.92,1858.92,1873.76,1872.25,4.09E+11,
3/19/2014,1872.25,1850.35,1874.14,1860.77,4.99E+11,
3/20/2014,1860.09,1854.63,1873.49,1872.01,4.67E+11,
3/21/2014,1874.53,1863.46,1883.97,1866.52,1.55E+12,
3/24/2014,1867.67,1849.69,1873.34,1857.44,5.88E+11,
3/25/2014,1859.48,1855.96,1871.87,1865.62,4.92E+11,
3/26/2014,1867.09,1852.56,1875.92,1852.56,5.58E+11,
3/27/2014,1852.11,1842.11,1855.55,1849.04,5.83E+11,
3/28/2014,1850.07,1850.07,1866.63,1857.62,4.54E+11,
3/31/2014,1859.16,1859.16,1875.18,1872.34,5.78E+11,
4/1/2014,1873.96,1873.96,1885.84,1885.52,5.17E+11,
4/2/2014,1886.61,1883.79,1893.17,1890.9,4.65E+11,
4/3/2014,1891.43,1882.65,1893.8,1888.77,4.87E+11,
4/4/2014,1890.25,1863.26,1897.28,1865.09,6.39E+11,
4/7/2014,1863.92,1841.48,1864.04,1845.04,6.58E+11,
4/8/2014,1845.48,1837.49,1854.95,1851.96,5.52E+11,
4/9/2014,1852.64,1852.38,1872.43,1872.18,5.28E+11,
4/10/2014,1872.28,1830.87,1872.53,1833.08,6.37E+11,
4/11/2014,1830.65,1814.36,1835.07,1815.69,6.62E+11,
4/14/2014,1818.18,1815.8,1834.19,1830.61,5.25E+11,
4/15/2014,1831.45,1816.29,1844.02,1842.98,5.92E+11,
4/16/2014,1846.01,1846.01,1862.31,1862.31,5.37E+11,
4/17/2014,1861.73,1856.72,1869.63,1864.85,6.66E+11,
4/21/2014,1865.79,1863.18,1871.89,1871.89,4.46E+11,
4/22/2014,1872.57,1872.57,1884.89,1879.55,4.93E+11,
4/23/2014,1879.32,1873.91,1879.75,1875.39,4.78E+11,
4/24/2014,1881.97,1870.24,1884.06,1878.61,5.24E+11,
4/25/2014,1877.72,1859.7,1877.72,1863.4,5.27E+11,
4/28/2014,1865,1850.61,1877.01,1869.43,6.44E+11,
4/29/2014,1870.78,1870.78,1880.6,1878.33,4.90E+11,
